name,wikiID,alt,city,midpointX,midpointY,,Y+X
八寮灣圳,,,苗栗縣,120.864,24.4226,,"24.4226,120.864"
八邊溪,,,臺東縣,121.347,23.0914,,"23.0914,121.347"
八寶圳河道,,,臺中市,120.778,24.2715,,"24.2715,120.778"
刀石坑,,,臺中市,120.731,24.2081,,"24.2081,120.731"
力力溪,Q21127227,力里溪,屏東縣,120.607,22.4493,,"22.4493,120.607"
十一分埤,,,桃園市,121.237,24.8358,,"24.8358,121.237"
十九份溪,,,苗栗縣,120.93,24.509,,"24.509,120.93"
十二小給線,,,新北市,121.488,25.2507,,"25.2507,121.488"
十二分坑,,,花蓮縣,121.532,23.784,,"23.784,121.532"
十二寮大埤,,,新竹縣,120.994,24.6718,,"24.6718,120.994"
十八份坑溪,,,桃園市,121.388,25.043,,"25.043,121.388"
十八份坑溪,,,新北市,121.388,25.043,,"25.043,121.388"
十八重溪,,,南投縣,120.957,23.6133,,"23.6133,120.957"
十八重溪,#N/A,,南投縣,120.881,23.6594,,"23.6594,120.881"
十三分坑,,,宜蘭縣,121.763,24.616,,"24.616,121.763"
十五小給線,,,新北市,121.483,25.2538,,"25.2538,121.483"
十五間溪,,,桃園市,121.08,24.9424,,"24.9424,121.08"
十文溪,,,臺中市,121.027,24.1846,,"24.1846,121.027"
十四小給線,,,新北市,121.487,25.2524,,"25.2524,121.487"
十四坑,,,基隆市,121.652,25.1124,,"25.1124,121.652"
十四寮大埤,,,新竹縣,121.002,24.6718,,"24.6718,121.002"
十股坑,,,苗栗縣,120.711,24.3857,,"24.3857,120.711"
十股溪,,,宜蘭縣,121.771,24.8417,,"24.8417,121.771"
十區埤,,,新北市,121.523,25.2652,,"25.2652,121.523"
十張犁圳,,,高雄市,120.575,23.0111,,"23.0111,120.575"
十硿子溪,#N/A,石硿子溪,新北市,,,,","
三叉坑溪,,,新北市,121.828,25.0198,,"25.0198,121.828"
三屯圳,,,新竹縣,121.197,24.7994,,"24.7994,121.197"
三屯圳,,,桃園市,121.197,24.7994,,"24.7994,121.197"
三仙溪,,,臺東縣,121.34,23.1635,,"23.1635,121.34"
三民溪,,,桃園市,121.34,24.8234,,"24.8234,121.34"
三份圳,,,屏東縣,120.6,22.6326,,"22.6326,120.6"
三份坑,,,宜蘭縣,121.857,24.9163,,"24.9163,121.857"
三光溪,,,宜蘭縣,121.376,24.6151,,"24.6151,121.376"
三光溪,Q10865357,,桃園市,121.376,24.6151,,"24.6151,121.376"
三光溪,,,桃園市,121.381,24.6789,,"24.6789,121.381"
三合溪,,,南投縣,120.86,23.8971,,"23.8971,120.86"
三合溪,,,高雄市,120.86,23.8971,,"23.8971,120.86"
三百六坑,,,苗栗縣,120.909,24.6055,,"24.6055,120.909"
三坎溝,,,臺南市,120.393,23.1514,,"23.1514,120.393"
三坑,,,宜蘭縣,121.586,24.6279,,"24.6279,121.586"
三坑溪,,,新北市,121.728,25.0381,,"25.0381,121.728"
三姓公溪,,,新竹市,120.928,24.7927,,"24.7927,120.928"
三股溪,,大塭寮大排,臺南市,120.097,23.0998,,"23.0998,120.097"
三重溪,,,台南市,,,,","
三重溪,,,嘉義縣,,,,","
三重歷溪,,,新竹縣,121.061,24.7545,,"24.7545,121.061"
三家春坑,,,彰化縣,120.584,24.0186,,"24.0186,120.584"
三峽河,Q7419001,三峽溪,新北市,121.409,24.9545,,"24.9545,121.409"
三峽溪,,,新北市,121.373,24.9088,,"24.9088,121.373"
三條圳幹線第一支線,,,彰化縣,120.49,23.8331,,"23.8331,120.49"
三條崙漁港,,,雲林縣,120.15,23.6569,,"23.6569,120.15"
三笠溪,#N/A,,花蓮縣,,,,","
三富溪,Q10865829,,花蓮縣,121.454,23.4462,,"23.4462,121.454"
三棧北溪,,,花蓮縣,121.549,24.1341,,"24.1341,121.549"
三棧南溪,,,花蓮縣,121.603,24.1032,,"24.1032,121.603"
三棧溪,,,花蓮縣,121.49,24.1188,,"24.1188,121.49"
三棧溪,Q10866204,,花蓮縣,,,,","
三間二號圳,,,臺東縣,121.464,23.3524,,"23.3524,121.464"
三間屋溪,,,臺東縣,121.467,23.3628,,"23.3628,121.467"
三塊石埤,,,桃園市,121.251,25.0683,,"25.0683,121.251"
三塊厝排水,,,南投縣,120.645,23.8941,,"23.8941,120.645"
三塊厝溝,,,高雄市,120.342,22.7631,,"22.7631,120.342"
三爺溪排水,#N/A,"三爺溪,三爺宮溪",臺南市,120.192,22.921,,"22.921,120.192"
三爺溪排水,,,高雄市,120.193,22.9229,,"22.9229,120.193"
三爺溪排水,,,臺南市,120.257,22.945,,"22.945,120.257"
三號溪,,,南投縣,120.854,23.5691,,"23.5691,120.854"
三寮灣溪,,,臺南市,120.12,23.2512,,"23.2512,120.12"
三層坪坑,,,宜蘭縣,121.742,24.6105,,"24.6105,121.742"
三興坑排水,,,南投縣,120.679,23.903,,"23.903,120.679"
三疊溪,,,嘉義縣,120.441,23.5915,,"23.5915,120.441"
三疊溪,#N/A,,雲林縣,120.371,23.6093,,"23.6093,120.371"
三疊溪,#N/A,,嘉義縣,120.371,23.6093,,"23.6093,120.371"
三灣圳,,,苗栗縣,120.975,24.6458,,"24.6458,120.975"
上大埤頭,,,桃園市,121.15,24.9736,,"24.9736,121.15"
上水圳,,,宜蘭縣,121.64,24.7203,,"24.7203,121.64"
上四座屋圳,,,新竹縣,121.106,24.8437,,"24.8437,121.106"
上坑,,,臺中市,120.785,24.2493,,"24.2493,120.785"
上坑支線,,,新竹縣,120.984,24.9026,,"24.9026,120.984"
上坪圳,,,苗栗縣,120.879,24.4298,,"24.4298,120.879"
上坪溪,,,新竹縣,121.101,24.6822,,"24.6822,121.101"
上坪溪,Q10867286,,新竹縣,121.103,24.7169,,"24.7169,121.103"
上坪攔河堰導水路,,,新竹縣,121.072,24.7395,,"24.7395,121.072"
上林圳,,,南投縣,120.946,23.8833,,"23.8833,120.946"
上茄苳埤,,,臺南市,120.392,23.3915,,"23.3915,120.392"
下大坑,,,苗栗縣,120.846,24.5034,,"24.5034,120.846"
下山坑排水,,,彰化縣,120.621,23.9966,,"23.9966,120.621"
下山溪,,,臺南市,120.09,23.1504,,"23.1504,120.09"
下木浪坑,,,臺中市,120.862,24.2437,,"24.2437,120.862"
下田溪,,,桃園市,121.08,24.9737,,"24.9737,121.08"
下圭柔山溪,,,新北市,121.426,25.1976,,"25.1976,121.426"
下冷水坑圳,,,屏東縣,120.491,22.7155,,"22.7155,120.491"
下坑,,,臺中市,120.776,24.2464,,"24.2464,120.776"
下坑溪,,,新北市,121.8,24.9929,,"24.9929,121.8"
下角港溪,,,臺東縣,121.242,22.9775,,"22.9775,121.242"
下坪仔排水,,,臺中市,120.889,24.1588,,"24.1588,120.889"
下淡水溪支流,,,屏東縣,120.449,22.5621,,"22.5621,120.449"
下陰影窩溪,,,桃園市,121.088,24.9439,,"24.9439,121.088"
下勞灣溪,,樂合溪,花蓮縣,121.403,23.3434,,"23.3434,121.403"
下痢坑,,,臺南市,120.552,23.1133,,"23.1133,120.552"
下塘埤,,,桃園市,121.086,25.0135,,"25.0135,121.086"
下廍溪,,,,,,,","
下廓溪,,,屏東縣,120.485,22.4638,,"22.4638,120.485"
下寮溪,Q9383929,,新北市,121.649,25.0494,,"25.0494,121.649"
下橫坑,,,新竹縣,121.125,24.7879,,"24.7879,121.125"
下橫坑,,,臺中市,121.125,24.7879,,"24.7879,121.125"
下橫坑溪,,,新竹縣,,,,","
下龍貍溪,,,屏東縣,120.72,22.062,,"22.062,120.72"
丸田溪,,,花蓮縣,121.342,23.9952,,"23.9952,121.342"
口社溪,,,屏東縣,120.667,22.793,,"22.793,120.667"
口隘溪,#N/A,,高雄市,120.492,22.935,,"22.935,120.492"
口隘溪,,,高雄市,120.49,22.9444,,"22.9444,120.49"
土人頭坑,,,臺南市,120.452,23.4033,,"23.4033,120.452"
土地公坑,,,雲林縣,120.624,23.6946,,"23.6946,120.624"
土地公坑,,,南投縣,120.771,23.9469,,"23.9469,120.771"
土地公坑,,,彰化縣,120.596,23.9737,,"23.9737,120.596"
土地公坑,,土地公坑溪,彰化縣,120.844,24.013,,"24.013,120.844"
土地公坑,,土地公坑溪,南投縣,120.844,24.013,,"24.013,120.844"
土地公坑,,土地公坑溪,雲林縣,120.844,24.013,,"24.013,120.844"
土地公坑,,土地公坑溪,臺中市,120.844,24.013,,"24.013,120.844"
土地公坑,,,臺中市,120.783,24.1956,,"24.1956,120.783"
土地公埔一圳,,,新竹縣,121.059,24.8248,,"24.8248,121.059"
土地公埤,,,桃園市,121.118,25.0087,,"25.0087,121.118"
土地公溪,,,彰化縣,121.349,24.915,,"24.915,121.349"
土地公溪,,,新北市,121.349,24.915,,"24.915,121.349"
土南坑,,,南投縣,120.801,24.0162,,"24.0162,120.801"
土城溪,,,苗栗縣,120.753,24.4583,,"24.4583,120.753"
土埋坑,,,臺南市,120.437,23.2041,,"23.2041,120.437"
土庫溪,,,臺中市,120.632,24.1037,,"24.1037,120.632"
土場溪,,多望溪,宜蘭縣,121.505,24.5541,,"24.5541,121.505"
土場溪,,,新竹縣,121.087,24.5705,,"24.5705,121.087"
土場溪,#N/A,多望溪,宜蘭縣,121.497,24.5761,,"24.5761,121.497"
土濁坑,,,南投縣,120.916,23.7566,,"23.7566,120.916"
土龍溝埤,,,桃園市,121.109,25.0042,,"25.0042,121.109"
士文溪,,,屏東縣,120.689,22.3799,,"22.3799,120.689"
大山坑,,,臺南市,120.384,23.2226,,"23.2226,120.384"
大山溝,,,高雄市,120.387,22.9046,,"22.9046,120.387"
大不岸溪,,,花蓮縣,121.537,23.6555,,"23.6555,121.537"
大內坑溪,#N/A,,基隆市,,,,","
大屯溪,,,新北市,121.492,25.2231,,"25.2231,121.492"
大屯溪,Q10935069,,新北市,121.45,25.2359,,"25.2359,121.45"
大牛林坑,,,臺南市,120.612,23.177,,"23.177,120.612"
大丘園坑,,,彰化縣,120.637,23.8136,,"23.8136,120.637"
大北坑,,,新竹縣,121.165,24.862,,"24.862,121.165"
大北坑,,,桃園市,121.165,24.862,,"24.862,121.165"
大北坑溪,,,,,,,","
大北勢溪,,,高雄市,120.643,23.1289,,"23.1289,120.643"
大古溪,,,桃園市,121.159,24.9574,,"24.9574,121.159"
大平坑,,,高雄市,120.553,22.9262,,"22.9262,120.553"
大平窩溪,,,新竹縣,121.087,24.8605,,"24.8605,121.087"
大甲九圳,,,新北市,121.352,24.9499,,"24.9499,121.352"
大甲溪,,,臺中市,121.202,24.2826,,"24.2826,121.202"
大甲溪,,,宜蘭縣,121.202,24.2826,,"24.2826,121.202"
大甲溪,Q714246,,臺中市,120.551,24.3292,,"24.3292,120.551"
大甲溪口,,,臺中市,120.556,24.3344,,"24.3344,120.556"
大目幹溪,,,臺南市,120.341,22.9971,,"22.9971,120.341"
大石坑,,,南投縣,120.86,23.993,,"23.993,120.86"
大石板溪,,,屏東縣,120.792,22.0912,,"22.0912,120.792"
大石股圳,,,南投縣,120.855,23.9968,,"23.9968,120.855"
大光明圳,,,宜蘭縣,121.716,24.6513,,"24.6513,121.716"
大宅坑,,,臺南市,120.514,23.1997,,"23.1997,120.514"
大安圳幹線,,,新北市,121.416,24.9524,,"24.9524,121.416"
大安圳幹線媽祖田支線,,,新北市,121.432,24.9427,,"24.9427,121.432"
大安溪,Q32713410,,苗栗縣,120.722,24.3565,,"24.3565,120.722"
大安溪,,,苗栗縣,120.967,24.3707,,"24.3707,120.967"
大安溪,,,臺中市,120.967,24.3707,,"24.3707,120.967"
大安溪,Q32713410,,臺中市,120.61,24.3986,,"24.3986,120.61"
大庄排水,,,南投縣,120.651,23.8798,,"23.8798,120.651"
大竹圍一圳,,,新北市,121.461,25.178,,"25.178,121.461"
大竹溪,,,嘉義縣,120.822,22.4517,,"22.4517,120.822"
大竹溪,,,臺東縣,120.822,22.4517,,"22.4517,120.822"
大竹溪,Q10937222,,臺東縣,120.884,22.4547,,"22.4547,120.884"
大冷坑,,,南投縣,120.895,23.9871,,"23.9871,120.895"
大坑,,,苗栗縣,120.857,24.4936,,"24.4936,120.857"
大坑,,,南投縣,120.857,24.4936,,"24.4936,120.857"
大坑缺溪,,,桃園市,121.199,24.8767,,"24.8767,121.199"
大坑溝,,,高雄市,120.417,22.7459,,"22.7459,120.417"
大坑溪,,,宜蘭縣,121.665,24.6457,,"24.6457,121.665"
大坑溪,,,南投縣,121.665,24.6457,,"24.6457,121.665"
大坑溪,,,花蓮縣,121.665,24.6457,,"24.6457,121.665"
大坑溪,,,苗栗縣,121.665,24.6457,,"24.6457,121.665"
大坑溪,,,高雄市,121.665,24.6457,,"24.6457,121.665"
大坑溪,,,臺中市,121.665,24.6457,,"24.6457,121.665"
大坑溪,,,新北市,121.665,24.6457,,"24.6457,121.665"
大坑溪,,,桃園市,121.665,24.6457,,"24.6457,121.665"
大坑溪,,,臺北市,121.665,24.6457,,"24.6457,121.665"
大坑溪,Q10934411,"舊莊溪,東勢坑溪",新北市,,,,","
大坑溪,Q10934412,,臺中市,,,,","
大坑溪,Q32716656,,宜蘭縣,,,,","
大沙溪,,,花蓮縣,121.497,24.2068,,"24.2068,121.497"
大肚溪,,,新竹縣,121.111,24.7378,,"24.7378,121.111"
大肚溪大排,,,苗栗縣,120.815,24.636,,"24.636,120.815"
大肚滑溪,#N/A,,花蓮縣,,,,","
大里溪,,,臺中市,120.702,24.1167,,"24.1167,120.702"
大里溪,Q10938249,,臺中市,,,,","
大和溪,,,花蓮縣,121.427,23.5982,,"23.5982,121.427"
大和溪,Q32715823,,花蓮縣,121.407,23.6166,,"23.6166,121.407"
大坡池,,,臺東縣,121.224,23.1176,,"23.1176,121.224"
大坡溪,,,臺東縣,121.228,23.1298,,"23.1298,121.228"
大坡溪,,,花蓮縣,121.228,23.1298,,"23.1298,121.228"
大坡溪,,,桃園市,121.228,23.1298,,"23.1298,121.228"
大坡溪,#N/A,,臺東縣,121.231,23.1394,,"23.1394,121.231"
大坡溪,#N/A,,花蓮縣,121.231,23.1394,,"23.1394,121.231"
大坡腳埤,,,桃園市,121.101,25.0294,,"25.0294,121.101"
大坪圳,,,新北市,121.634,25.1671,,"25.1671,121.634"
大坪坑,,,南投縣,120.894,24.0927,,"24.0927,120.894"
大坪林西幹線,,,新北市,121.54,24.9652,,"24.9652,121.54"
大坪林東幹線,,,新北市,121.546,24.9686,,"24.9686,121.546"
大坪溪,,,新竹縣,121.065,24.6402,,"24.6402,121.065"
大坪溪,,,高雄市,121.065,24.6402,,"24.6402,121.065"
大坪溪,,,臺南市,121.065,24.6402,,"24.6402,121.065"
大坪溪,Q32721445,,新竹縣,121.056,24.6806,,"24.6806,121.056"
大東坑,,,新竹縣,121.112,24.8172,,"24.8172,121.112"
大東河,Q32714684,東河溪,苗栗縣,121.047,24.5986,,"24.5986,121.047"
大東河,,,苗栗縣,121.039,24.6176,,"24.6176,121.039"
大東勢溪,,,苗栗縣,120.925,24.5282,,"24.5282,120.925"
大林圳,,,南投縣,120.952,23.8832,,"23.8832,120.952"
大武崙溪,,,基隆市,121.722,25.1163,,"25.1163,121.722"
大武崙溪,Q17023655,,基隆市,121.712,25.1387,,"25.1387,121.712"
大武溪,Q10936117,茶茶牙賴溪,臺東縣,120.862,22.3648,,"22.3648,120.862"
大武溪,,茶茶牙賴溪,臺東縣,120.847,22.3687,,"22.3687,120.847"
大武溪,,,臺東縣,,,,","
大社溪,,,屏東縣,120.708,22.8697,,"22.8697,120.708"
大金面第一湧泉圳,,,宜蘭縣,121.803,24.8499,,"24.8499,121.803"
大金面第二湧泉圳,,,宜蘭縣,121.805,24.8318,,"24.8318,121.805"
大金面湧泉圳,,,宜蘭縣,121.799,24.8484,,"24.8484,121.799"
大南坑,,,新竹縣,120.881,24.2186,,"24.2186,120.881"
大南坑,,,臺中市,120.881,24.2186,,"24.2186,120.881"
大南河,,,苗栗縣,120.999,24.523,,"24.523,120.999"
大南埔圳,,,苗栗縣,120.947,24.6421,,"24.6421,120.947"
大南溪,,,臺東縣,121.022,22.7547,,"22.7547,121.022"
大南澳圳第一幹線,,,宜蘭縣,121.814,24.4606,,"24.4606,121.814"
大後溪,,托阿沃溪,,120.73,22.5627,,"22.5627,120.73"
大後溪,,托阿沃溪,屏東縣,120.73,22.5627,,"22.5627,120.73"
大流溪,,,屏東縣,120.883,22.157,,"22.157,120.883"
大茅埔圳,,,臺中市,120.841,24.19,,"24.19,120.841"
大俱來一號圳,,,臺東縣,121.451,23.375,,"23.375,121.451"
大埔坑,,,臺南市,120.4,23.2017,,"23.2017,120.4"
大埔美溪,,,嘉義縣,120.514,23.5833,,"23.5833,120.514"
大埔埤,,,桃園市,121.19,25.0236,,"25.0236,121.19"
大埔溪,,,雲林縣,120.631,23.7301,,"23.7301,120.631"
大埔溪,,,臺中市,120.631,23.7301,,"23.7301,120.631"
大埔溪,Q32714237,,雲林縣,,,,","
大埔溪,,,,,,,","
大峰峰圳,,,臺東縣,121.479,23.4257,,"23.4257,121.479"
大烏溪,,,臺東縣,120.911,22.3808,,"22.3808,120.911"
大草埤,,,桃園市,121.14,24.9946,,"24.9946,121.14"
大草庴埤,,,桃園市,121.315,24.9774,,"24.9774,121.315"
大草排坑,,,苗栗縣,120.859,24.3097,,"24.3097,120.859"
大荖藤溪,,,高雄市,120.61,23.019,,"23.019,120.61"
大豹溪,,,新北市,121.388,24.8637,,"24.8637,121.388"
大豹溪,Q10938056,,新北市,,,,","
大匏崙溝,,,臺南市,120.404,23.1367,,"23.1367,120.404"
大埤,,,苗栗縣,120.868,24.624,,"24.624,120.868"
大埤,,,新竹縣,121.09,24.7051,,"24.7051,121.09"
大埤,,,桃園市,121.116,25.0007,,"25.0007,121.116"
大埤溝,,,臺南市,120.382,22.9339,,"22.9339,120.382"
大埤潭,,,苗栗縣,120.86,24.3863,,"24.3863,120.86"
大堀溪,,,桃園市,121.119,25.0248,,"25.0248,121.119"
大堀溪,Q10934622,,桃園市,,,,","
大崙坑,,,彰化縣,120.615,23.9614,,"23.9614,120.615"
大崙湖,,,臺北市,121.583,25.1063,,"25.1063,121.583"
大崙溝,,,高雄市,120.4,22.9069,,"22.9069,120.4"
大崙溪,,,臺東縣,121.109,23.1074,,"23.1074,121.109"
大崙溪,,,台東,,,,","
大崛坑,,,臺中市,120.766,24.0115,,"24.0115,120.766"
大梅溪,,,屏東縣,120.741,22.1598,,"22.1598,120.741"
大梅溪,Q32719246,,屏東縣,,,,","
大梅溪,,,屏東縣牡丹鄉,,,,","
大深坑,,,彰化縣,120.616,24.0374,,"24.0374,120.616"
大深坑,,,新竹縣,121.008,24.9442,,"24.9442,121.008"
大深坑,,,桃園市,121.008,24.9442,,"24.9442,121.008"
大清水溪,,,花蓮縣,121.674,24.2287,,"24.2287,121.674"
大莊埤,,,桃園市,121.194,25.072,,"25.072,121.194"
大雪溪,,,苗栗縣,121.104,24.3456,,"24.3456,121.104"
大雪溪,Q32724369,,苗栗縣,,,,","
大鳥溪,,,臺東縣,120.901,22.3816,,"22.3816,120.901"
大富溪,Q10934954,,花蓮縣,,,,","
大湖(十四分坪),,,臺北市,121.606,25.0809,,"25.0809,121.606"
大湖口溪,,,雲林縣,120.56,23.6087,,"23.6087,120.56"
大湖口溪,Q32715988,,雲林縣,,,,","
大湖口溪,,,雲林,,,,","
大湖口溪,,,嘉義或雲林,,,,","
大湖坑,,,臺中市,120.761,24.2171,,"24.2171,120.761"
大湖底溪,,,嘉義縣,120.568,23.3649,,"23.3649,120.568"
大湖桶坑,,,臺中市,120.83,24.1085,,"24.1085,120.83"
大湖溝,,,苗栗縣,120.862,24.6469,,"24.6469,120.862"
大湖溪,,,宜蘭縣,120.92,24.3831,,"24.3831,120.92"
大湖溪,,,新竹縣,120.92,24.3831,,"24.3831,120.92"
大湖溪,,,苗栗縣,120.92,24.3831,,"24.3831,120.92"
大湖溪,Q32715956,,苗栗縣,120.888,24.4202,,"24.4202,120.888"
大湖溪,N/A,,宜蘭縣,,,,","
大塭寮排水,#N/A,三股溪,臺南市,,,,","
大慈湖,,,新北市,121.617,25.2036,,"25.2036,121.617"
大溪,,,屏東縣,120.63,22.8371,,"22.8371,120.63"
大溪,,石門溪,宜蘭縣,121.596,24.5708,,"24.5708,121.596"
大溪,,石門溪,,121.596,24.5708,,"24.5708,121.596"
大溪,,,宜蘭,,,,","
大溪川,,大溪溪,宜蘭縣,121.896,24.9412,,"24.9412,121.896"
大溪川,Q10936565,大溪溪,宜蘭縣,,,,","
大溪溪,,,新北市,121.873,24.9526,,"24.9526,121.873"
大溪墘溪,,,新北市,121.548,25.2849,,"25.2849,121.548"
大溪墘溪支線,,,新北市,121.57,25.2522,,"25.2522,121.57"
大窠坑溪,,,新北市,,,,","
大窠溪,,,新北市,121.411,25.0555,,"25.0555,121.411"
大鼎埤,,,桃園市,121.239,25.1134,,"25.1134,121.239"
大漢溪,Q199374,大嵙崁溪,新竹縣,121.324,24.9154,,"24.9154,121.324"
大漢溪,Q199374,大嵙崁溪,桃園市,121.324,24.9154,,"24.9154,121.324"
大漢溪,Q199374,大嵙崁溪,新北市,121.324,24.9154,,"24.9154,121.324"
大漢溪上游,,,桃園市,121.239,24.8298,,"24.8298,121.239"
大窩圳,,,苗栗縣,120.872,24.4077,,"24.4077,120.872"
大窩溝,,,苗栗縣,120.735,24.5942,,"24.5942,120.735"
大寮溪,,,新竹縣,121.136,24.6867,,"24.6867,121.136"
大德溪,Q10935439,,臺東縣,,,,","
大潭,,,苗栗縣,120.823,24.6345,,"24.6345,120.823"
大潭埤,,,臺南市,120.34,22.9562,,"22.9562,120.34"
大學池,,,南投縣,120.791,23.6721,,"23.6721,120.791"
大興溪,#N/A,,花蓮縣,,,,","
大龜崙圳,,,新北市,121.436,25.1978,,"25.1978,121.436"
大濱溪,,,臺東縣,121.397,23.2114,,"23.2114,121.397"
大礁溪,,,宜蘭縣,121.668,24.7972,,"24.7972,121.668"
大礁溪,Q32716494,,宜蘭縣,,,,","
大礁溪池,,,宜蘭縣,121.699,24.7758,,"24.7758,121.699"
大豐溪,,,花蓮縣,121.388,23.5994,,"23.5994,121.388"
大羅蘭溪,,,新北市,121.46,24.7647,,"24.7647,121.46"
大羅蘭溪,Q32718588,,新北市,,,,","
大灣溪,,,宜蘭縣,,,,","
小丁子蘭坑,,,新北市,121.872,24.986,,"24.986,121.872"
小北勢溪,,,高雄市,120.634,23.1373,,"23.1373,120.634"
小半山排水,,,南投縣,120.643,23.9339,,"23.9339,120.643"
小瓦黑爾溪,,,花蓮縣,121.452,24.2394,,"24.2394,121.452"
小冷坑,,,南投縣,120.901,23.9736,,"23.9736,120.901"
小坑,,,苗栗縣,120.817,24.3662,,"24.3662,120.817"
小坑仔溪,,,雲林縣,120.565,23.6708,,"23.6708,120.565"
小坑仔溪,,,新北市,120.565,23.6708,,"23.6708,120.565"
小坑溪,,,新北市,121.595,25.2796,,"25.2796,121.595"
小坑溪,Q10958486,,新北市,,,,","
小貝湖,,,高雄市,120.358,22.6521,,"22.6521,120.358"
小東坑,,,新竹縣,121.123,24.8282,,"24.8282,121.123"
小東河,,,苗栗縣,121.007,24.5635,,"24.5635,121.007"
小東勢溪,,,苗栗縣,120.93,24.5424,,"24.5424,120.93"
